Mexico,Profresor Roberto Barrios,17.32583,-91.92639,America/Mexico_City
Mexico,Progreso (Campo 47),27.34028,-110.09361,America/Hermosillo
Mexico,Santiago Ixtaltepec,16.68833,-94.90583,America/Mexico_City
Mexico,Estacion la Piedad,20.3675,-101.99806,America/Mexico_City
Mexico,Valle de Juarez,25.63778,-100.15833,America/Monterrey
Mexico,Miravalle,21.9725,-102.31139,America/Mexico_City
Mexico,El Olvera,20.27,-99.02556,America/Mexico_City
Mexico,Pueblo Benito Garcia,30.51583,-115.93278,America/Tijuana
Mexico,Cruz Verde,19.1375,-97.10861,America/Mexico_City
Mexico,Iratzio,19.64583,-101.41194,America/Mexico_City
Mexico,Estacion Bamoa,25.70842,-108.31298,America/Mazatlan
Mexico,Tulillos de Abajo,21.08563,-100.48411,America/Mexico_City
Mexico,San Bartolo Coyotespec,16.95837,-96.7093,America/Mexico_City
Mexico,Benito Juarez,19.0091,-97.85718,America/Mexico_City
Mexico,San Sebastian Alcomunga,18.43705,-97.02683,America/Mexico_City
Malaysia,Donggongon,5.90702,116.10146,Asia/Kuching
Malaysia,Kinarut,5.8231,116.0466,Asia/Kuching
Malaysia,Seremban,2.7297,101.9381,Asia/Kuala_Lumpur
Malaysia,Ampang,3.15,101.76667,Asia/Kuala_Lumpur
Malaysia,Kampar,4.3,101.15,Asia/Kuala_Lumpur
Malaysia,Tapah Road,4.16667,101.2,Asia/Kuala_Lumpur
Malaysia,Kuala Perlis,6.4,100.13333,Asia/Kuala_Lumpur
Malaysia,Limbang,4.75477,115.01011,Asia/Kuching
Malaysia,Telaga Batu,5.46667,100.23333,Asia/Kuala_Lumpur
Malaysia,Pulau Sebang,2.455,102.2329,Asia/Kuala_Lumpur
Malaysia,Kampung Tanjung Karang,3.4242,101.1849,Asia/Kuala_Lumpur
Mozambique,Nampula,-15.11646,39.2666,Africa/Maputo
Mozambique,Milange,-16.09861,35.77,Africa/Maputo
Namibia,Hoachanas,-23.92109,18.05328,Africa/Windhoek
Namibia,Rosh Pinah,-27.96605,16.76136,Africa/Windhoek
New Caledonia,Hienghene,-20.68333,164.93333,Pacific/Noumea
Niger,Tassara,16.80472,5.64417,Africa/Niamey
Niger,Keita,14.7551,5.7749,Africa/Niamey
Niger,Filingue,14.3521,3.3168,Africa/Niamey
Nigeria,Wushishi,9.73035,6.07305,Africa/Lagos
